num_cores,n_tasks,target_utilization,scheduling_type,scheduling_policy,preemption_mode,allocation_policy,avg_response_time_sim,schedulability_ratio_sim,deadline_misses,total_jobs,avg_response_time_cf,schedulability_ratio_cf,avg_sched_delay,energy_estimate,analysis_overhead
4,5,0.25,Global,FIFO,Preemptive,,18.87560296106656,1.0,0,21,32.10884687928831,1.0,0.0,252.74467273769858,0.0011188983917236328
4,5,0.25,Partitioned,FIFO,Preemptive,First-Fit Decreasing,20.80478532081823,1.0,0,21,32.10884687928831,1.0,0.0,252.74467273769858,0.000982046127319336
4,5,0.25,Global,FIFO,Non-Preemptive,,18.87560296106656,1.0,0,21,32.10884687928831,1.0,0.0,252.74467273769858,0.0008952617645263672
4,5,0.25,Partitioned,FIFO,Non-Preemptive,First-Fit Decreasing,20.80478532081823,1.0,0,21,32.10884687928831,1.0,0.0,252.74467273769858,0.0008690357208251953
4,5,0.25,Global,HEFT,Preemptive,,0.0,0.0,0,0,32.10884687928831,1.0,0.0,240.10743910081365,0.09916186332702637
4,5,0.25,Partitioned,HEFT,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,32.10884687928831,1.0,0.0,240.10743910081365,0.07741236686706543
4,5,0.25,Global,HEFT,Non-Preemptive,,18.87560296106656,1.0,0,21,32.10884687928831,1.0,0.0,240.10743910081365,0.00020122528076171875
4,5,0.25,Partitioned,HEFT,Non-Preemptive,First-Fit Decreasing,21.505845462773454,1.0,0,21,32.10884687928831,1.0,0.0,240.10743910081365,0.0002143383026123047
4,5,0.25,Global,LDF,Preemptive,,0.0,0.0,0,0,32.10884687928831,1.0,0.0,265.38190637458354,0.07332181930541992
4,5,0.25,Partitioned,LDF,Preemptive,First-Fit Decreasing,0.0,0.0,0,0,32.10884687928831,1.0,0.0,265.38190637458354,0.07483792304992676
4,5,0.25,Global,LDF,Non-Preemptive,,18.87560296106656,1.0,0,21,32.10884687928831,1.0,0.0,265.38190637458354,0.00019049644470214844
4,5,0.25,Partitioned,LDF,Non-Preemptive,First-Fit Decreasing,21.505845462773454,1.0,0,21,32.10884687928831,1.0,0.0,265.38190637458354,0.00020432472229003906
